L.P,Rodzaj pojazdu,Nr boczny,Linia,Następny przystanek,Przystanek końcowy,Opóźnienie/Przyspieszenie,Godzina odczytu,Dzień tygodnia,Opóźnienie (float),Godzina (int),Opóźnienie(int)
1,TRAMWAJ,423,17,Fredry,Zawady,01:59,14:43,środa,"1,983","14,00",1
2,TRAMWAJ,264,8,Most Teatralny,Górczyn PKM,00:37,14:44,środa,"0,617","14,00",0
3,TRAMWAJ,620,6,Most Dworcowy,Miłostowo,-00:51:00,14:44,środa,"-0,850","14,00",0
4,TRAMWAJ,542,12,Poznań Główny,Starołęka PKM,00:44,14:45,środa,"0,733","14,00",0
5,TRAMWAJ,918,10,Wierzbięcice,Dębiec PKM,01:59,14:45,środa,"1,983","14,00",1
6,TRAMWAJ,162,6,Most Dworcowy,Junikowo,01:59,14:46,środa,"1,983","14,00",1
7,TRAMWAJ,550,12,AWF,Os. Sobieskiego,03:58,14:46,środa,"3,967","14,00",3
8,TRAMWAJ,558,9,Łąkowa,Dębiec PKM,00:54,14:46,środa,"0,900","14,00",0
9,TRAMWAJ,226,7,Rondo Rataje,Połabska,03:23,14:47,środa,"3,383","14,00",3
10,TRAMWAJ,290,5,Rondo Rataje,Unii Lubelskiej,-00:29:00,14:47,środa,"-0,483","14,00",0
11,TRAMWAJ,553,6,Rondo Rataje,Junikowo,03:01,14:47,środa,"3,017","14,00",3
12,TRAMWAJ,428,8,Rondo Śródka,Miłostowo,-00:16:00,14:48,środa,"-0,267","14,00",0
13,TRAMWAJ,545,13,Kórnicka,Starołęka PKM,01:53,14:48,środa,"1,883","14,00",1
14,TRAMWAJ,436,5,Wagrowska,Unii Lubelskiej,02:20,14:49,środa,"2,333","14,00",2
15,TRAMWAJ,441,1,Żegrze III,Franowo,12:45,14:49,środa,"12,750","14,00",12
16,TRAMWAJ,424,11,Unii Lubelskiej,Unii Lubelskiej,03:23,14:50,środa,"3,383","14,00",3
17,TRAMWAJ,555,13,Rondo Starołęka,Starołęka PKM,06:01,14:50,środa,"6,017","14,00",6
18,TRAMWAJ,218,2,Rynek Wildecki,Ogrody,00:51,14:51,środa,"0,850","14,00",0
19,TRAMWAJ,402,1,Hetmańska Wiadukt,Franowo,02:02,14:51,środa,"2,033","14,00",2
20,AUTOBUS,1018,176,Krzyżowa,Garbary PKM,01:00,14:51,środa,"1,000","14,00",1
21,TRAMWAJ,616,7,Rolna,Połabska,-00:14:00,14:52,środa,"-0,233","14,00",0
22,TRAMWAJ,918,10,Pamiątkowa,Dębiec PKM,02:28,14:52,środa,"2,467","14,00",2
23,TRAMWAJ,264,8,Głogowska/Hetmańska,Górczyn PKM,01:06,14:53,środa,"1,100","14,00",1
24,TRAMWAJ,522,9,Traugutta,Aleje Marcinkowskiego,-00:20:00,14:53,środa,"-0,333","14,00",0
25,AUTOBUS,1907,171,Robocza,Os.Wichrowe Wzgórze,04:02,14:53,środa,"4,033","14,00",4
26,TRAMWAJ,925,3,Rondo Nowaka-Jeziorańskiego,Błażeja,-01:02:00,14:54,środa,"-1,033","14,00",-1
27,AUTOBUS,1503,169,Opalenicka,Os.Sobieskiego,-00:13:00,14:54,środa,"-0,217","14,00",0
28,AUTOBUS,1253,159,Swoboda,Port Lotniczy Ławica,-00:52:00,14:55,środa,"-0,867","14,00",0
29,AUTOBUS,1639,169,Opalenicka,Os.Kopernika,00:41,14:55,środa,"0,683","14,00",0
30,TRAMWAJ,224,18,Żeromskiego,Ogrody,09:52,14:56,środa,"9,867","14,00",9
31,AUTOBUS,1829,191,Szpitalna,Os.Kopernika,01:15,14:56,środa,"1,250","14,00",1
32,AUTOBUS,7015,729,Swoboda,Dopiewo/Dworzec Kolejowy,00:19,14:56,środa,"0,317","14,00",0
33,TRAMWAJ,432,2,Żeromskiego,Ogrody,-00:46:00,14:57,środa,"-0,767","14,00",0
34,TRAMWAJ,612,18,Rynek Jeżycki,Ogrody,04:54,14:57,środa,"4,900","14,00",4
35,TRAMWAJ,927,7,Żeromskiego,Ogrody,01:07,14:57,środa,"1,117","14,00",1
36,TRAMWAJ,609,7,Most Teatralny,Połabska,08:35,14:58,środa,"8,583","14,00",8
37,TRAMWAJ,938,10,Most Teatralny,Dębiec PKM,00:43,14:58,środa,"0,717","14,00",0
38,TRAMWAJ,228,11,Wielkopolska,Unii Lubelskiej,00:42,14:59,środa,"0,700","14,00",0
39,TRAMWAJ,519,15,Most Teatralny,Budziszyńska,01:41,14:59,środa,"1,683","14,00",1
40,TRAMWAJ,917,16,Most Teatralny,Aleje Marcinkowskiego,-01:28:00,14:59,środa,"-1,467","14,00",-1
41,TRAMWAJ,933,10,Wielkopolska,Błażeja,01:51,14:59,środa,"1,850","14,00",1
42,TRAMWAJ,459,7,Wielkopolska,Ogrody,00:09,15:00,środa,"0,150","15,00",0
43,AUTOBUS,1878,168,Urząd Marszałkowski,Strzeszyn PKM,01:03,15:00,środa,"1,050","15,00",1
44,TRAMWAJ,538,14,Most Teatralny,Górczyn PKM,-00:15:00,15:01,środa,"-0,250","15,00",0
45,AUTOBUS,1258,182,Śląska,Górczyn PKM,02:03,15:01,środa,"2,050","15,00",2
46,AUTOBUS,1643,160,Klin,Garbary PKM,-00:40:00,15:01,środa,"-0,667","15,00",0
47,TRAMWAJ,430,2,Stare Zoo,Dębiec PKM,00:49,15:02,środa,"0,817","15,00",0
48,AUTOBUS,1257,164,Jeżycka,Puszkina,00:02,15:02,środa,"0,033","15,00",0
49,TRAMWAJ,168,15,Bałtyk,Os.Sobieskiego,00:26,15:03,środa,"0,433","15,00",0
50,TRAMWAJ,546,12,Poznań Główny,Starołęka PKM,-00:22:00,15:03,środa,"-0,367","15,00",0
