liczba_porzadkowa,rodzaj_pojazdu,nr_boczny,linia,nastepny_przystanek,przystanek_koncowy,opoznienie/przyspieszenie,godzina_odczytu,dzien_tygodnia,opoznienie_f,godzina_i,opoznienie_i,MODEL
1,TRAMWAJ,423,17,Fredry,Zawady,01:59,14:43,sroda,"1,983","14,00",1,MODERTRANS
2,TRAMWAJ,264,8,Most Teatralny,Gorczyn PKM,00:37,14:44,sroda,"0,617","14,00",0,KONSTAL
3,TRAMWAJ,620,6,Most Dworcowy,Milostowo,-00:51,14:44,sroda,"-0,850","14,00",0,MODERTRANS
4,TRAMWAJ,542,12,Poznan Glowny,Staroleka PKM,00:44,14:45,sroda,"0,733","14,00",0,SOLARIS
5,TRAMWAJ,918,10,Wierzbiecice,Debiec PKM,01:59,14:45,sroda,"1,983","14,00",1,MODERTRANS
6,TRAMWAJ,162,6,Most Dworcowy,Junikowo,01:59,14:46,sroda,"1,983","14,00",1,KONSTAL
7,TRAMWAJ,550,12,AWF,Os.Sobieskiego,03:58,14:46,sroda,"3,967","14,00",3,SOLARIS
8,TRAMWAJ,558,9,Lakowa,Debiec PKM,00:54,14:46,sroda,"0,900","14,00",0,SOLARIS
9,TRAMWAJ,226,7,Rondo Rataje,Polabska,03:23,14:47,sroda,"3,383","14,00",3,MODERTRANS
10,TRAMWAJ,290,5,Rondo Rataje,Unii Lubelskiej,-00:29,14:47,sroda,"-0,483","14,00",0,KONSTAL
11,TRAMWAJ,553,6,Rondo Rataje,Junikowo,03:01,14:47,sroda,"3,017","14,00",3,SOLARIS
12,TRAMWAJ,428,8,Rondo Srodka,Milostowo,-00:16,14:48,sroda,"-0,267","14,00",0,MODERTRANS
13,TRAMWAJ,545,13,Kornicka,Staroleka PKM,01:53,14:48,sroda,"1,883","14,00",1,SOLARIS
14,TRAMWAJ,436,5,Wagrowska,Unii Lubelskiej,02:20,14:49,sroda,"2,333","14,00",2,MODERTRANS
15,TRAMWAJ,441,1,Zegrze III,Franowo,12:45,14:49,sroda,"12,750","14,00",12,MODERTRANS
16,TRAMWAJ,424,11,Unii Lubelskiej,Unii Lubelskiej,03:23,14:50,sroda,"3,383","14,00",3,MODERTRANS
17,TRAMWAJ,555,13,Rondo Staroleka,Staroleka PKM,06:01,14:50,sroda,"6,017","14,00",6,SOLARIS
18,TRAMWAJ,218,2,Rynek Wildecki,Ogrody,00:51,14:51,sroda,"0,850","14,00",0,MODERTRANS
19,TRAMWAJ,402,1,Hetmanska Wiadukt,Franowo,02:02,14:51,sroda,"2,033","14,00",2,TATRA
20,AUTOBUS,1018,176,Krzyzowa,Garbary PKM,01:00,14:51,sroda,"1,000","14,00",1,AUTOBUS
21,TRAMWAJ,616,7,Rolna,Polabska,-00:14,14:52,sroda,"-0,233","14,00",0,MODERTRANS
22,TRAMWAJ,918,10,Pamiatkowa,Debiec PKM,02:28,14:52,sroda,"2,467","14,00",2,MODERTRANS
23,TRAMWAJ,264,8,Glogowska/Hetmanska,Gorczyn PKM,01:06,14:53,sroda,"1,100","14,00",1,KONSTAL
24,TRAMWAJ,522,9,Traugutta,Aleje Marcinkowskiego,-00:20,14:53,sroda,"-0,333","14,00",0,SOLARIS
25,AUTOBUS,1907,171,Robocza,Os.Wichrowe Wzgorze,04:02,14:53,sroda,"4,033","14,00",4,AUTOBUS
26,TRAMWAJ,925,3,Rondo Nowaka-Jezioranskiego,Blazeja,-01:02,14:54,sroda,"-1,033","14,00",-1,MODERTRANS
27,AUTOBUS,1503,169,Opalenicka,Os.Sobieskiego,-00:13,14:54,sroda,"-0,217","14,00",0,AUTOBUS
28,AUTOBUS,1253,159,Swoboda,Port Lotniczy Lawica,-00:52,14:55,sroda,"-0,867","14,00",0,AUTOBUS
29,AUTOBUS,1639,169,Opalenicka,Os.Kopernika,00:41,14:55,sroda,"0,683","14,00",0,AUTOBUS
30,TRAMWAJ,224,18,Zeromskiego,Ogrody,09:52,14:56,sroda,"9,867","14,00",9,MODERTRANS
31,AUTOBUS,1829,191,Szpitalna,Os.Kopernika,01:15,14:56,sroda,"1,250","14,00",1,AUTOBUS
32,AUTOBUS,7015,729,Swoboda,Dopiewo/Dworzec Kolejowy,00:19,14:56,sroda,"0,317","14,00",0,AUTOBUS
33,TRAMWAJ,432,2,Zeromskiego,Ogrody,-00:46,14:57,sroda,"-0,767","14,00",0,MODERTRANS
34,TRAMWAJ,612,18,Rynek Jezycki,Ogrody,04:54,14:57,sroda,"4,900","14,00",4,MODERTRANS
