,opoznienie_f,godzina_f,rodzaj_pojazdu,linia,dzien_tygodnia,model,latitude,longtitude
0,1.983,14.716666666666669,TRAMWAJ,17,sroda,MODERTRANS,16.91927,52.40932
1,0.617,14.733333333333333,TRAMWAJ,8,sroda,KONSTAL,16.913743,52.410965
2,-0.85,14.733333333333333,TRAMWAJ,6,sroda,MODERTRANS,16.911029,52.404002
3,0.733,14.75,TRAMWAJ,12,sroda,SOLARIS,16.915074,52.403027
4,1.983,14.75,TRAMWAJ,10,sroda,MODERTRANS,16.920521,52.401927
5,1.983,14.766666666666667,TRAMWAJ,6,sroda,KONSTAL,16.911029,52.404002
6,3.967,14.766666666666667,TRAMWAJ,12,sroda,SOLARIS,16.9343,52.39924
7,0.9,14.766666666666667,TRAMWAJ,9,sroda,SOLARIS,16.93425,52.40195
8,3.383,14.783333333333331,TRAMWAJ,7,sroda,MODERTRANS,16.948822,52.396174
9,-0.483,14.783333333333331,TRAMWAJ,5,sroda,KONSTAL,16.948822,52.396174
10,3.017,14.783333333333331,TRAMWAJ,6,sroda,SOLARIS,16.948822,52.396174
11,-0.267,14.8,TRAMWAJ,8,sroda,MODERTRANS,16.955791,52.410089
12,1.883,14.8,TRAMWAJ,13,sroda,SOLARIS,16.952099,52.3988
13,12.75,14.816666666666666,TRAMWAJ,1,sroda,MODERTRANS,16.969101,52.383283
14,6.017,14.833333333333334,TRAMWAJ,13,sroda,SOLARIS,16.943308,52.381063
15,0.85,14.85,TRAMWAJ,2,sroda,MODERTRANS,16.921917,52.393879
16,2.033,14.85,TRAMWAJ,1,sroda,TATRA,16.929247,52.382774
17,1.0,14.85,AUTOBUS,176,sroda,AUTOBUS,16.92371,52.388224
18,-0.233,14.866666666666667,TRAMWAJ,7,sroda,MODERTRANS,16.918128,52.384071
19,2.467,14.866666666666667,TRAMWAJ,10,sroda,MODERTRANS,16.916189,52.3871
20,1.1,14.883333333333333,TRAMWAJ,8,sroda,KONSTAL,16.893565,52.390274
21,-0.333,14.883333333333333,TRAMWAJ,9,sroda,SOLARIS,16.914002,52.384641
22,4.033,14.883333333333333,AUTOBUS,171,sroda,AUTOBUS,16.910942,52.388145
23,-1.033,14.9,TRAMWAJ,3,sroda,MODERTRANS,16.888218,52.402351
24,-0.217,14.9,AUTOBUS,169,sroda,AUTOBUS,16.887349,52.404905
25,-0.867,14.916666666666666,AUTOBUS,159,sroda,AUTOBUS,16.874169,52.411718
26,0.683,14.916666666666666,AUTOBUS,169,sroda,AUTOBUS,16.887349,52.404905
27,9.867,14.933333333333334,TRAMWAJ,18,sroda,MODERTRANS,16.890361,52.415741
28,1.25,14.933333333333334,AUTOBUS,191,sroda,AUTOBUS,16.877223,52.411898
29,0.317,14.933333333333334,AUTOBUS,729,sroda,AUTOBUS,16.874169,52.411718
30,-0.767,14.95,TRAMWAJ,2,sroda,MODERTRANS,16.890361,52.415741
31,4.9,14.95,TRAMWAJ,18,sroda,MODERTRANS,16.903957,52.412236
32,1.117,14.95,TRAMWAJ,7,sroda,MODERTRANS,16.890361,52.415741
33,8.583,14.966666666666669,TRAMWAJ,7,sroda,MODERTRANS,16.913743,52.410965
34,0.717,14.966666666666669,TRAMWAJ,10,sroda,MODERTRANS,16.913743,52.410965
35,0.7,14.983333333333333,TRAMWAJ,11,sroda,MODERTRANS,16.918006,52.415581
36,1.683,14.983333333333333,TRAMWAJ,15,sroda,SOLARIS,16.913743,52.410965
37,-1.467,14.983333333333333,TRAMWAJ,16,sroda,MODERTRANS,16.913743,52.410965
38,1.85,14.983333333333333,TRAMWAJ,10,sroda,MODERTRANS,16.918006,52.415581
39,0.15,15.0,TRAMWAJ,7,sroda,MODERTRANS,16.918006,52.415581
40,6.233,15.133333333333333,AUTOBUS,168,sroda,AUTOBUS,16.91919,52.40722
41,-0.25,15.016666666666667,TRAMWAJ,14,sroda,SOLARIS,16.913743,52.410965
42,2.05,15.016666666666667,AUTOBUS,182,sroda,AUTOBUS,16.909211,52.424272
43,-0.667,15.016666666666667,AUTOBUS,160,sroda,AUTOBUS,16.913584,52.419037
44,0.817,15.033333333333331,TRAMWAJ,2,sroda,MODERTRANS,16.908657,52.408292
45,0.033,15.033333333333331,AUTOBUS,164,sroda,AUTOBUS,16.90584,52.416207
46,0.433,15.05,TRAMWAJ,15,sroda,MODERTRANS,16.91106,52.4065
47,-0.367,15.05,TRAMWAJ,12,sroda,SOLARIS,16.915074,52.403027
48,0.05,15.05,AUTOBUS,145,sroda,AUTOBUS,16.910257,52.401116
49,7.917,15.066666666666666,TRAMWAJ,7,sroda,KONSTAL,16.886707,52.392884
50,2.217,15.066666666666666,TRAMWAJ,11,sroda,MODERTRANS,16.893565,52.390274
51,6.05,15.066666666666666,TRAMWAJ,5,sroda,SOLARIS,16.891368,52.387588
52,3.733,15.083333333333334,TRAMWAJ,8,sroda,MODERTRANS,16.898504,52.393963
53,6.267,15.083333333333334,TRAMWAJ,6,sroda,SOLARIS,16.892479,52.403411
54,0.217,15.083333333333334,AUTOBUS,164,sroda,AUTOBUS,16.900199,52.398325
55,3.083,15.1,TRAMWAJ,2,sroda,MODERTRANS,16.903957,52.412236
56,-0.717,15.1,TRAMWAJ,3,sroda,MODERTRANS,16.892479,52.403411
57,0.467,15.1,AUTOBUS,164,sroda,AUTOBUS,16.899404,52.405227
58,0.633,15.116666666666667,TRAMWAJ,15,sroda,KONSTAL,16.899404,52.405227
59,1.217,15.116666666666667,TRAMWAJ,16,sroda,MODERTRANS,16.91919,52.40722
60,1.1,15.116666666666667,AUTOBUS,163,sroda,AUTOBUS,16.91309,52.4078
61,1.433,18.433333333333334,AUTOBUS,168,sroda,AUTOBUS,16.92024,52.413122
62,4.433,15.15,AUTOBUS,171,sroda,AUTOBUS,16.926793,52.415281
63,1.467,15.166666666666666,AUTOBUS,167,sroda,AUTOBUS,16.937471,52.410749
64,12.483,15.166666666666666,AUTOBUS,603,sroda,AUTOBUS,16.938316,52.408838
65,3.0,15.183333333333334,TRAMWAJ,17,sroda,MODERTRANS,16.947315,52.41003
66,0.517,15.183333333333334,AUTOBUS,163,sroda,AUTOBUS,16.937471,52.410749
67,5.133,15.183333333333334,AUTOBUS,190,sroda,AUTOBUS,16.938316,52.408838
68,3.233,15.2,TRAMWAJ,13,sroda,SIEMENS,16.932135,52.405568
69,0.233,15.216666666666669,TRAMWAJ,6,sroda,SOLARIS,16.9343,52.39924
70,-0.133,15.216666666666669,AUTOBUS,603,sroda,AUTOBUS,16.930575,52.387442
71,2.35,15.25,TRAMWAJ,18,sroda,MODERTRANS,16.948669,52.393005
72,1.833,15.266666666666667,TRAMWAJ,13,sroda,SOLARIS,16.948822,52.396174
73,4.167,15.266666666666667,TRAMWAJ,7,sroda,MODERTRANS,16.948822,52.396174
